company,job_title,location,job_url,applied,applied_time,viewed,viewed_time,downloaded
alpata yazılım ve teknoloji,Destek Hizmetleri Uzmanı,,https://www.linkedin.com/jobs/view/4379863379,True,2026-03-08T00:11:50+00:00,False,,False
alyo bilisim a.s,Video Processing Engineer,"Ankara, Türkiye",https://www.linkedin.com/jobs/view/4375681235,True,2026-03-08T00:21:46+00:00,False,,False
arksigner,Backend Developer,Ankara,https://www.linkedin.com/jobs/view/4380247679,True,2026-03-08T00:04:03+00:00,False,,False
avansas.com,Jr. Data Analytics Specialist,,https://www.linkedin.com/jobs/view/4381954099,True,2026-03-08T00:09:25+00:00,False,,False
baris insaat,Yazılım Mühendisi,"Esenler, İstanbul, Türkiye",https://www.linkedin.com/jobs/view/4374560280,True,2026-03-06T13:49:31+00:00,True,2026-03-06T13:49:31+00:00,False
bentego,Software Engineer,Türkiye,https://www.linkedin.com/jobs/view/4379872385,True,2026-03-08T00:16:00+00:00,False,,False
cms group light alloy wheels,Veri Analisti,"İzmir, Türkiye",https://www.linkedin.com/jobs/view/4380935650,True,2026-03-08T00:11:03+00:00,False,,False
cognera teknoloji,RPA Developer,,https://www.linkedin.com/jobs/view/4378502664,True,2026-03-08T00:12:34+00:00,False,,False
"englishcentral, inc",Frontend Developer,,https://www.linkedin.com/jobs/view/4380769162,True,2026-03-08T00:20:44+00:00,False,,False
fibabanka,Software Engineer,"Ankara, Türkiye",https://www.linkedin.com/jobs/view/4364787853,True,2026-03-08T00:21:07+00:00,False,,False
fix bilisim teknolojileri ltd. sti,Bilgi Teknolojileri Saha Mühendisi,"İzmir, Türkiye",https://www.linkedin.com/jobs/view/4376259760,True,2026-03-08T00:08:40+00:00,False,,False
fzlplus,Data Analisti,"İstanbul, Türkiye",https://www.linkedin.com/jobs/view/4380685026,True,2026-03-08T00:12:27+00:00,False,,False
gizli sirket,Data Scientist,"Ankara, Türkiye",https://www.linkedin.com/jobs/view/4377377711,True,2026-03-08T00:12:15+00:00,False,,False
gozen holding,Junior Digital Communications & Design Specialist,İstanbul,https://www.linkedin.com/jobs/view/4375934509,True,2026-03-08T00:13:00+00:00,False,,False
gundogdu gıda,Junior Software Developer,,https://www.linkedin.com/jobs/view/4378144247,True,2026-03-08T00:10:36+00:00,False,,False
infera teknoloji,Dijital Süreç Uzmanı (Test),"Ankara, Türkiye",https://www.linkedin.com/jobs/view/4380910526,True,2026-03-08T00:16:15+00:00,False,,False
innobi - innovative business intelligence,Junior Python & Java Developer,,https://www.linkedin.com/jobs/view/4381641499,True,2026-03-08T00:09:02+00:00,False,,False
keytech elektronik,Junior Yazılım Geliştirici,Ankara,https://www.linkedin.com/jobs/view/4378513053,True,2026-03-08T00:18:25+00:00,False,,False
"mall iq, inc",Data Analysis and Algorithm Engineer,,https://www.linkedin.com/jobs/view/4375225005,True,2026-03-08T00:10:27+00:00,False,,False
metunic odtu gv bt a.s,Yazılım Geliştirici,"Ankara, Türkiye",https://www.linkedin.com/jobs/view/4381967701,True,2026-03-08T00:04:29+00:00,False,,False
mobileaction,Software Test Engineer,"Ankara, Türkiye",https://www.linkedin.com/jobs/view/4379915412,True,2026-03-08T00:21:28+00:00,False,,False
nodus works,Geliştirici,Türkiye,https://www.linkedin.com/jobs/view/4381215623,True,2026-03-08T00:04:56+00:00,False,,False
nuevo softwarehouse,Dotnet Geliştirici,Türkiye,https://www.linkedin.com/jobs/view/4380281168,True,2026-03-08T00:17:23+00:00,False,,False
ozdemir group,Full Stack Software Engineer (Node.js & React),Ankara,https://www.linkedin.com/jobs/view/4379891549,True,2026-03-08T00:16:50+00:00,False,,False
pentanom talent,Veritabanı Yöneticisi,,https://www.linkedin.com/jobs/view/4381419178,True,2026-03-08T00:15:28+00:00,False,,False
qoolize,Junior NOC Specialist,"İstanbul, Türkiye",https://www.linkedin.com/jobs/view/4378823447,True,2026-03-05T17:56:02+00:00,True,2026-03-05T17:56:02+00:00,False
quatron teknoloji otomasyon,Otomasyon Yazılım & Devreye Alma Yetkilisi,,https://www.linkedin.com/jobs/view/4379845159,True,2026-03-08T00:07:52+00:00,False,,False
ritma teknoloji,Yazılım Satış Yöneticisi,"Kocaeli, Kocaeli, Türkiye",https://www.linkedin.com/jobs/view/4378182213,True,2026-03-08T00:07:35+00:00,True,2026-03-08T00:19:19+00:00,False
rivo teknoloji a.s,ÜRÜN MÜDÜRÜ,Ankara,https://www.linkedin.com/jobs/view/4379850516,True,2026-03-08T00:08:11+00:00,False,,False
sigorta bilgi ve gozetim merkezi,Java Yazılım Uzmanı,Türkiye,https://www.linkedin.com/jobs/view/4380243346,True,2026-03-08T00:05:05+00:00,False,,False
siren bilisim yazılım,Full Stack Developer,Ankara,https://www.linkedin.com/jobs/view/4381404963,True,2026-03-08T00:16:22+00:00,False,,False
titan makina,Planlama Mühendisi,,https://www.linkedin.com/jobs/view/4380249568,True,2026-03-08T00:08:00+00:00,False,,False
trendify,Business Intelligence Consultant,İstanbul,https://www.linkedin.com/jobs/view/4375925230,True,2026-03-08T00:07:20+00:00,False,,False
turkcell global bilgi,Mobil Uygulama Geliştirme Uzmanı,"Ankara, Türkiye",https://www.linkedin.com/jobs/view/4379354248,True,2026-03-08T00:17:54+00:00,False,,False
